university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Hyderabad,placement,placement review,p_y5eJbK1Tw,How is IIT Hyderabad Performing?? Is it a good Option?🤔🤔#jee #jee2025 #iit #iitjee #iithyderabad,Vedantu JEE Made Ejee,2024-09-19T13:30:28Z
IIT Hyderabad,placement,placement review,WvTrzO_wy5E,IIT Hyderabad Placements Procedure Explained 2026,Daniel IITH,2026-04-14T10:49:22Z
IIT Hyderabad,placement,placement review,RfDVxZkhhL4,B.Tech in Artificial Intelligence(AI) at IIT Hyderabad | My Degree Experience,Sankho kun,2023-06-16T08:00:54Z
IIT Hyderabad,placement,placement review,EXWSjYgnk0M,"IIT Hyderabad M.Tech Placements RTI Reply | Highest Package, Reality Check",GeeksforGeeks GATE,2026-03-28T05:30:00Z
IIT Hyderabad,placement,placement review,R3qmfG109_Y,IIT Hyderabad College Review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-05T06:30:24Z
IIT Hyderabad,placement,placement review,5RKvJwkuEJQ,IIT Hyderabad Review in 1 Min | Inside IIT Hyderabad | Arvind Kalia Sir | #shorts #jee #iithyderabad,Vedantu JEE,2022-12-03T06:00:01Z
IIT Hyderabad,placement,placement review,BNJEv9lGVv4,IIT Hyderabad College Review in One minute 🔥  #shorts #iithyderabad  #jeemains #iitmotivation,Ritik Meghwani,2022-10-17T15:00:09Z
IIT Hyderabad,placement,placement review,QfMqnnFSgvY,What Makes IIT Hyderabad So Special? 🤔😎 #iithyderabad #iit #iitjee #jee #shorts #telugu #kiransir,Vedantu Telugu JEE,2025-08-29T08:30:15Z
IIT Hyderabad,placement,placement review,uFUzHFjahv8,IIT HYDERABAD Dept Tour #iitjee #rushikale #minivlog #campuslife #campuslife #engineering#hostellife,Rushi Kale Vlogs,2022-07-30T13:36:25Z
IIT Indore,placement,placement review,mZzHhfhJbLk,IIT Indore Placement 2025 REALITY - ₹1.37 Cr Package Par 83 Students UNPLACED | JEE 2026 Must Watch,Ayush Garg Classes,2025-11-22T07:46:07Z
IIT Indore,placement,placement review,Tk4opN3VZmM,IIT Indore Review | Fees | 56 LPA Placements | IIT Motivation | IIT Indore Campus,CAREERKICK JEE,2023-02-28T05:30:10Z
IIT Indore,placement,placement review,ko88YWBLjKU,IIT Indore Shocking Placement &amp; Cutoff 😱 | Official RTI Reply,GeeksforGeeks GATE,2026-03-18T05:30:00Z
IIT Indore,placement,placement review,EfskGYWNZlU,IIM Indore Placement Report 2025 | Highest Package ₹70 LPA,SuperGrads IPMAT Coaching by Toprankers,2025-10-03T14:33:10Z
IIT Indore,placement,placement review,vJHtUBSwZCg,IIT Indore Placement Report | Shocking Trends Revealed Through RTI!,GATE Wallah (English),2025-10-22T11:30:52Z
IIT Indore,placement,placement review,U7gWdAsvnBo,IIT Indore 2026 Cutoff REVEALED 🚨 | Top 3 Branches + Placement Reality 😲,Vision Career Institute ,2026-01-28T02:47:00Z
IIT Indore,placement,placement review,dr5Y-DVqmaQ,IIT INDORE College Review in One minute 🔥  #shorts #iitindore #jeemains #iitmotivation #iit,Ritik Meghwani,2022-10-12T15:00:09Z
IIT Indore,placement,placement review,aSIcAUSheYU,Which IIT would I Choose Again ? 🤔 - If I Got Another Chance!! ✅ #iit #iitbombay #iitmotivation,Yash Mishra [IIT INDORE],2025-05-31T07:00:01Z
IIT Indore,placement,placement review,qwstrKbudDI,IIT Delhi is BAAP of IIT Indore? #iit #iitjee,Nishant Jindal [IIT Delhi],2025-01-01T12:56:34Z
IIT Indore,placement,placement review,mHZLiNx521Y,IIT Indore in 1 Min | Inside IIT Indore | Arvind Sir | Vedantu #shorts #viral #iitindore,Vedantu JEE,2023-04-14T09:30:12Z
IIT BHU,placement,placement review,-dU8ACJXu78,IIT BHU Ka Jalwa 🔥🥶 Highest Package Vs Average Package #iitmotivation #iitjee #placement,TSV Kota Shorts ,2024-11-19T12:19:31Z
IIT BHU,placement,placement review,h8cDRVn2irc,Asking IIT BHU B.Tech student about campus placement | Himanshu Mishra,The Student Life,2022-11-06T05:06:36Z
IIT BHU,placement,placement review,NyRo2UkcZT8,Placement Diaries 2026 | Outreach Club | IIT (BHU) Varanasi,Outreach Club | IIT (BHU) Varanasi,2026-01-23T13:05:00Z
IIT BHU,placement,placement review,K3Lo19q3ufo,IIT BHU &amp; Kanpur Placements 2026🔥 | Record Breaking😍,The MS BESTS,2025-12-09T13:49:18Z
IIT BHU,placement,placement review,NYdyz-G3olQ,IIT BHU Varanasi Placement Shock: ₹1.68 Cr to ₹5 Lakh! | BTech 2026,Ayush Garg Classes,2025-12-08T09:39:14Z
IIT BHU,placement,placement review,6aaRum1JWQQ,🥶 IIT BHU 1.5 CPA Package 😎🔥|| IIT Motivation | #iit #jee #iits #iitjee #viral #shortsfeed #shorts,Aashish Editz,2025-04-10T07:22:05Z
IIT BHU,placement,placement review,jB2rM5xaYEs,IIT BHU Latest Placements Stats | INSANE ₹2 Crore+ Salary Offers!,Collegedunia,2025-09-05T15:16:56Z
IIT BHU,placement,placement review,_iljJHqOf0c,IIT Hyderabad &amp; IIT BHU Minimum Expected GATE Score Required | Placement Trends | Official RTI Reply,GATE Wallah,2026-04-03T05:30:00Z
IIT BHU,placement,placement review,1pn_s5fSBME,IIT BHU College Review in One minute 🔥  #shorts #iitbhu #jeemains #iitmotivation,Ritik Meghwani,2022-10-13T15:45:07Z
IIT BHU,placement,placement review,jIDRX0VGeFg,IIT BHU M.TECH CSE HONEST REVIEW || Computer Science Complete Information #gate #mtech #iit  #cse,IITian Akhil jha,2024-04-15T10:30:07Z
NIT Trichy,placement,placement review,Nx4P5A10Whc,"All About NIT TRICHY | Admission, Eligibility, Cutoff, Fees, Placement, Students Review | Harsh Sir",Vedantu JEE Made Ejee,2025-10-08T13:45:20Z
NIT Trichy,placement,placement review,mzNGFlJHWW4,My Campus Placement story Nit Trichy ,Alish [ Nit Trichy ],2026-01-27T11:27:00Z
NIT Trichy,placement,placement review,2j-1Q-VEpCQ,I Asked NIT Master’s Students How They Cracked GATE &amp; JAM 👀,Suman Mpm,2026-05-18T13:26:23Z
NIT Trichy,placement,placement review,RWGM8lTlUKI,NIT Trichy College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-09-16T06:30:21Z
NIT Trichy,placement,placement review,7PaeimJkIcA,Production at NIT Trichy | Worth it?|  College vs Branch | Honest Review ,Alish [ Nit Trichy ],2026-05-05T12:12:53Z
NIT Trichy,placement,placement review,40c0sToZJKE,NIT Trichy Placements 2024 | How to get a Job in 2024 | NIT Trichy Review,Arsh Goyal,2024-04-08T13:10:13Z
NIT Trichy,placement,placement review,z4lMliRrPnM,Placements at NIT Trichy #placement #finance #analytics #management #software #lightscameracampus,shiksha.com,2024-12-27T10:30:33Z
NIT Trichy,placement,placement review,WL36sOs0xCs,What about placements at NIT Trichy?,Suman Mpm,2025-03-13T17:48:53Z
NIT Trichy,placement,placement review,Rya6A2dOM_k,"Inside NIT Trichy Campus | Talking to B.Tech Students About Life, Pressure &amp; Placements",Suman Mpm,2026-03-01T09:30:07Z
NIT Trichy,placement,placement review,uC9DyZI672o,Very Honest Review from NIT Trichy student 😇,Mihir Kathpal,2025-06-17T15:09:20Z
NIT Warangal,placement,placement review,v4kV-mqE56k,NIT వరంగల్ లో కోటి దాటిన ప్యాకేజీలు రికార్డు PLACEMENTS #PHANI sir,PHANI sir MATHS IIT - JEE CLASSES,2025-11-08T14:01:26Z
NIT Warangal,placement,placement review,mft5UgJYAXU,NIT Warangal College Review In Short,Apna College,2023-02-10T16:11:46Z
NIT Warangal,placement,placement review,ff9YboMWbDM,"JEE Main 2026 || NIT Warangal Placements 2025: Highest Package, Average Package #jeemains #nta",Career Initiative,2025-10-27T09:15:05Z
NIT Warangal,placement,placement review,IRlL2aAKyaw,NIT Warangal Placements 2025🔥 | Branchwise Report | Best NIT,The MS BESTS,2025-08-03T12:41:32Z
NIT Warangal,placement,placement review,xx9PopBfPtM,NIT Warangal College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-09-20T06:30:36Z
NIT Warangal,placement,placement review,Pd2WBLbJZUA,"NIT Warangal: Fee, Scholarship, Campus, Quota, Placements, Salary, admission, cutoff, alumni, review",Manabadi Videos,2023-12-11T02:29:40Z
NIT Warangal,placement,placement review,nooy4Pr5QyA,NIT Warangal CSE Cutoff 2025 | Unexpected Closing Ranks for Home &amp; Other States 🔥😱,Apka Siddharth,2025-03-05T10:12:18Z
NIT Warangal,placement,placement review,oSJCvfF7Wuo,💥 NIT Warangal 2025 Cutoff &amp; Closing Rank 📈 | Fees &amp; Placement | JEE Main 2025,Careers360,2025-04-29T06:00:43Z
NIT Warangal,placement,placement review,5Vp-QVShoyY,"NIT Warangal Placement Report 2025, BTech/MTech/MBA/MCA/MSc Placement of NIT Warangal 2026",Ujjwal Kumar Sen Clips,2026-02-14T14:00:08Z
NIT Warangal,placement,placement review,ePvMZNhGiZc,NIT tirchy Vs NIT Surathkal Vs NIT Warangal | CSE PLACEMENT| JOSAA 2023,A Mechanical Engineer,2023-06-15T12:09:16Z
NIT Surathkal,placement,placement review,icTHXLTew4s,NIT Surathkal College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-09-18T06:30:19Z
NIT Surathkal,placement,placement review,NL9mBwXMCPw,NIT Surathkal Placements 2025 | Highest Package 55 Lakhs &amp; Top Recruiters,Collegedunia,2025-09-09T12:45:03Z
NIT Surathkal,placement,placement review,tXka7vK9EAk,NIT Warangal Vs NIT Surathkal : NIT M.Tech Placements : NIT M.Tech Cutoffs @TheCivilGuruji #mtech,Aniruddha Sir : The Civil Guruji,2026-05-22T15:53:12Z
NIT Surathkal,placement,placement review,k7R9Gdjw7JI,NIT Surathkal Placements 2025🔥 | Branchwise Stats | Best NIT😍,The MS BESTS,2025-11-21T15:39:53Z
NIT Surathkal,placement,placement review,-jrRqdTyStU,"💥 NIT Karnataka, Surathkal 2025 Cutoff &amp; Closing Rank 📈 | Fees &amp; Placement | JEE Main 2025",Careers360,2025-04-28T09:59:06Z
NIT Surathkal,placement,placement review,7V8ynurKY88,NIT Surathkal placement 2024 #nitk #ccmt #ccmn,Mecha Sumit [NITK],2024-04-24T02:52:02Z
NIT Surathkal,placement,placement review,C8j66VSxsaw,"NIT Surathkal Placement Report 2025, BTech MTech MCA MBA MSc Placement of NIT Surathkal 2025",Ujjwal Kumar Sen Clips,2026-02-15T03:30:07Z
NIT Surathkal,placement,placement review,0ao3rrMKzE0,NIT Surathkal Placements 2025 - 2026 | B.Tech +MBA +M.Tech +MSC +MCA | Must Watch Before Admission!,"Mechenzi - Placements, Colleges & Career",2026-02-11T14:29:10Z
NIT Surathkal,placement,placement review,UbdBh5QwXoA,NIT Surathkal Placements 2024 | Salary | Batch Placed |Reviews &amp; More,shiksha.com,2025-04-11T10:14:58Z
NIT Surathkal,placement,placement review,VO622qNZx4Y,🔥 Finally got my dream college ❤️ |Got NIT Surathkal in CSAB 2 🌊 |#nitk #nitsurathkal #success #top,Arjun M Kotari [ NITK ],2022-11-05T07:43:59Z
NIT Calicut,placement,placement review,y8B7Vo32DLQ,🚀 Top Recruiters at NIT Calicut 2025! | Dream Offers #lightscameracampus,shiksha.com,2025-06-30T04:09:25Z
NIT Calicut,placement,placement review,97zOYLsVA7Q,NIT Calicut College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-09-19T09:29:47Z
NIT Calicut,placement,placement review,Sk5BEjkzwEc,Reality of Placements &amp; Fees of NIT CALICUT? | Worth Doing MBA From NIT CALICUT ⚠️,Harshvardhan Tambe,2025-03-10T01:30:15Z
NIT Calicut,placement,placement review,-c57gOwFy-4,"Everything about NIT CALICUT in under 1 minute! Fees, Placement, Admission, Ranking, Cutoff, Reviews",Collegedunia,2025-10-24T05:00:00Z
