hashtag,sentiment,university_name,published_at,likes,reply_count
#closekiit,Neutral,KIIT University,2025-02-20 16:10:30+00:00,4,0
#shame,Positive,KIIT University,2025-02-20 14:09:30+00:00,0,0
#actnowmodi,Neutral,KIIT University,2025-02-20 13:31:29+00:00,0,0
#supportvictims,Negative,KIIT University,2025-02-20 13:11:35+00:00,0,0
#justice_must_be_served,Negative,KIIT University,2025-02-20 13:03:47+00:00,0,0
#justice,Neutral,KIIT University,2025-02-20 12:57:34+00:00,0,0
#justicforprakriti,Negative,KIIT University,2025-02-20 12:29:34+00:00,1,0
#sameonkiit,Neutral,KIIT University,2025-02-20 10:55:47+00:00,0,0
#justiceforpratiki,Neutral,KIIT University,2025-02-20 10:35:36+00:00,0,0
#justice_for_prakriti,Positive,KIIT University,2025-02-20 10:29:23+00:00,1,0
#shameonindia,Neutral,KIIT University,2025-02-20 10:24:39+00:00,0,0
#boycottindianuniversity,Neutral,KIIT University,2025-02-20 09:47:00+00:00,0,1
#deshbhakt,Positive,KIIT University,2025-02-20 09:38:43+00:00,0,0
#prakritilamsal,Positive,KIIT University,2025-02-20 08:56:04+00:00,0,0
#stepdownmoodi,Neutral,KIIT University,2025-02-20 07:56:26+00:00,0,0
#indias,Negative,KIIT University,2025-02-20 07:33:38+00:00,0,0
#justicefornepalesestudents,Negative,KIIT University,2025-02-20 06:52:03+00:00,0,0
#exposekiit,Negative,KIIT University,2025-02-20 06:52:03+00:00,0,0
#savestudents,Neutral,KIIT University,2025-02-20 05:29:46+00:00,0,0
#justicefornepali,Neutral,KIIT University,2025-02-20 05:11:01+00:00,0,0
#justicefor,Neutral,KIIT University,2025-02-20 04:50:41+00:00,0,0
#anonymous,Neutral,KIIT University,2025-02-20 04:44:17+00:00,0,0
#blackhat,Neutral,KIIT University,2025-02-20 04:44:17+00:00,0,0
#wedontforgetwedontforgive,Neutral,KIIT University,2025-02-20 04:44:17+00:00,0,0
#india,Neutral,KIIT University,2025-02-20 04:44:17+00:00,0,0
#nepal,Neutral,KIIT University,2025-02-20 04:44:17+00:00,0,0
#justiceforprakirtilamsal,Neutral,KIIT University,2025-02-20 04:07:36+00:00,0,0
#shameonkiit,Neutral,KIIT University,2025-02-20 03:39:54+00:00,0,0
#bycotindia,Negative,KIIT University,2025-02-20 03:39:34+00:00,0,0
#bycotindiastudy,Negative,KIIT University,2025-02-20 03:39:34+00:00,0,0
#shameonindia,Negative,KIIT University,2025-02-20 03:39:34+00:00,0,0
#sorotuber,Negative,KIIT University,2025-02-20 03:29:44+00:00,0,0
#sorofundedcreator,Negative,KIIT University,2025-02-20 03:29:44+00:00,0,0
#boycottindia,Negative,KIIT University,2025-02-20 03:21:05+00:00,1,0
#band,Positive,KIIT University,2025-02-20 03:17:15+00:00,0,0
#supreme,Negative,KIIT University,2025-02-20 03:10:32+00:00,0,0
#waiting,Positive,KIIT University,2025-02-20 02:47:17+00:00,0,0
#racist,Positive,KIIT University,2025-02-19 20:33:09+00:00,0,0
#cancelkiitlicense,Neutral,KIIT University,2025-02-19 19:22:29+00:00,0,0
#bankiit,Positive,KIIT University,2025-02-19 17:03:22+00:00,0,0
#changekiitadministration,Positive,KIIT University,2025-02-19 17:03:22+00:00,0,0
#justicforprikriti,Positive,KIIT University,2025-02-19 17:03:22+00:00,0,0
