Source,Target,Weight
ballb,bballb,5
boy,girl,5
change,policy,5
narayan,lalit,5
hota,start,5
branch,konse,5
got,topic,5
got,help,5
detail,full,5
jamia,hamdard,5
guru,ghasidas,5
rha,utha,5
topic,mind,5
want,prepare,5
better,branch,5
hota,uska,5
hota,kaisa,5
detail,website,5
better,iits,5
baat,wali,5
work,social,5
admission,basis,5
विश्व,विद्यालय,5
admission,thinking,5
akka,cheyandi,5
tell,kindly,5
marketing,finance,5
bura,hal,5
future,better,5
हैं,सकते,5
help,plzz,5
branch,mechanical,5
admission,maine,5
exam,ncet,5
rhe,padh,5
hoti,class,5
admission,tell,5
hoti,admission,5
admission,getting,5
ram,sai,5
hota,allot,5
kabhi,magadh,5
admission,bhulkr,5
cusb,bihar,5
better,delhi,5
want,apply,5
exam,abhi,5
में,विश्वविद्यालय,5
rhe,log,5
rhe,dikh,5
amrita,coimbatore,5
tell,plzz,5
hind,jay,5
branch,decent,5
exam,competitive,5
exam,subject,5
में,समय,5
helpful,found,5
internal,sliding,5
exam,giving,5
हैं,जाते,5
admission,ballb,5
result,aane,5
bar,bihar,5
admission,chahti,5
liskookthings,sunshine,5
exam,given,5
got,hii,5
tell,join,5
padh,naukri,5
jamia,milium,5
admission,manipur,5
hindu,safe,5
rha,baat,5
exam,external,5
lakhsmi,chetri,5
gya,payment,5
cut,gya,5
rha,apply,5
help,know,5
पत्रकार,महोदय,5
admission,score,5
approved,wes,5
में,सरकार,5
category,wise,4
saath,modern,4
oxford,menu,4
good,cusb,4
लेना,देना,4
future,remember,4
study,centre,4
paisa,kitna,4
isse,bura,4
placement,job,4
getting,scholarship,4
central,punjab,4
biotechnology,integrated,4
log,rehte,4
wbjee,exam,4
placement,scene,4
placement,bba,4
delhi,ambedkar,4
reality,showing,4
hons,cusb,4
clg,nalla,4
में,सिर्फ,4
first,class,4
apply,migration,4
good,say,4
clg,entha,4
bed,ncet,4
ranking,parameter,4
bhimavaram,srkr,4
clg,good,4
getting,mechanical,4
admission,know,4
data,analytics,4
दिन,रात,4
career,today,4
doubt,instagram,4
doubt,aayushx,4
admission,spot,4
hons,psychology,4
padhai,kaisi,4
category,bed,4
kitni,scholarship,4
help,happy,4
dega,vote,4
shiksha,useful,4
category,cusb,4
work,nice,4
matlab,salary,4
category,jayega,4
general,male,4
dena,chaiye,4
best,choice,4
technology,boscoder,4
general,aptitude,4
pata,jayega,4
good,private,4
ranking,joke,4
target,rhe,4
help,better,4
dena,padega,4
entrance,jmi,4
merit,name,4
obc,cut,4
एडमिशन,लेना,4
ranking,best,4
paisa,wapas,4
हूं,चाहता,4
sagar,dayanand,4
admission,criterion,4
placement,provide,4
में,भारत,4
लिए,करने,4
get,bhopal,4
great,reporting,4
में,राज्य,4
सारे,बिहार,4
opportunity,exposure,4
hons,english,4
certificate,category,4
biotechnology,cut,4
category,skta,4
best,chennai,4
ranking,criterion,4
april,attempt,4
cut,kitni,4
ranking,aata,4
ranking,believe,4
hons,bba,4
national,level,4
want,contact,4
national,institutional,4
लिए,लेने,4
बहुत,भैया,4
kitna,lgta,4
subject,additional,4
karunga,koshish,4
want,looking,4
character,alphanumeric,4
reference,object,4
जामिया,मिल्लिया,4
jayega,pta,4
placement,milega,4
character,डालने,4
branch,konsa,4
aayega,tak,4
subject,english,4
मिडिल,क्लास,4
double,engine,4
true,sad,4
pradesh,madhya,4
source,refer,4
likhe,padhe,4
total,gat,4
placement,great,4
guide,sakte,4
admission,art,4
fee,seat,4
low,cut,4
jayega,ban,4
year,ago,4
hota,entrance,4
hello,sikkim,4
fee,detail,4
year,old,4
total,mark,4
skta,addmission,4
padta,fark,4
sabse,india,4
cse,seat,4
admission,apna,4
cse,allahabad,4
cut,offs,4
subject,related,4
krni,baat,4
chuka,naukri,4
ज्यादा,इससे,4
say,sorry,4
time,baap,4
kota,rtu,4
rha,dar,4
admission,taken,4
telegram,join,4
contact,kemti,4
contact,kese,4
clg,join,4
fee,exam,4
admission,best,4
contact,kare,4
admission,website,4
worth,joining,4
placement,mujhe,4
paisa,kha,4
get,info,4
chemistry,gat,4
wale,paida,4
ranking,rank,4
application,भाई,4
खराब,हालत,4
नहीं,काम,4
करें,बताए,4
singh,kumar,4
jaye,muft,4
jaye,congress,4
contact,insta,4
bcom,better,4
lucknow,bbau,4
application,apply,4
baat,hazar,4
isiliye,hazar,4
moral,policing,4
category,bhopal,4
first,list,4
tell,plss,4
year,giving,4
singh,bhagat,4
cse,chahiye,4
admission,registration,4
fee,itna,4
good,deserves,4
clg,agr,4
forget,useful,4
cover,tell,4
har,mahadev,4
time,news,4
itna,bura,4
chor,neta,4
ban,khana,4
hota,online,4
help,kare,4
saal,gya,4
itna,late,4
time,get,4
certificate,get,4
साथ,आपके,4
help,sakte,4
news,reporting,4
bihar,barbad,4
attendance,compulsory,4
self,study,4
