university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Guwahati,fees,fees review,DqOzMUstVg8,IIT Guwahati Campus Review | Placements | Fees | NIRF Ranking | 2.4 Crore Highest Package 🤑,CAREERKICK JEE,2023-03-20T05:29:01Z
IIT Guwahati,fees,fees review,2tconj9E940,💥 IIT Guwahati  JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-21T11:35:21Z
IIT Guwahati,fees,fees review,1Q0yA2K_Ohs,"IIT Roorkee, IIT Guwahati MTech Admission 2026 | ME | Fees, Courses, Cutoff | Post GATE Guidance","GATE Wallah - ME, CE, XE, CH, PI & ES",2026-04-06T04:09:11Z
IIT Guwahati,fees,fees review,UEaTdB7EaCw,"IIT Guwahati M.Tech Admission 2025 | Cutoff, Fees, Placement | Complete Details Based On RTI Reply",GATE Wallah CSE & DA,2025-04-10T16:22:30Z
IIT Guwahati,fees,fees review,njrXxSQ0HG8,IIT Guwahati With Low GATE Score | Placement | Cutoff | Popular Courses | Fees | Complete Details,GATE Wallah,2025-03-29T05:30:18Z
IIT Guwahati,fees,fees review,pDeUrGdYwi0,"IIT Guwahati MTech Admission 2026 | CSE | Course, Cutoff, Fees &amp; Placement, Admission | Full Guide",GATE Wallah CSE & DA,2026-04-08T06:13:10Z
IIT Guwahati,fees,fees review,dBIad-Lpkjk,IIT Guwahati College Review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-06T06:30:19Z
IIT Guwahati,fees,fees review,H9P6kEslQsw,"IIT Guwahati (IITG) Review : Courses, Fees, Rankings, Cutoff, Admissions 2024, Placements",shiksha.com,2024-04-15T07:22:13Z
IIT Guwahati,fees,fees review,1dsrf2wrnqo,IIT Guwahati Admission Without JEE Advanced 😱| BS in Data Science and Artificial Intelligence,Vedantu JEE Made Ejee,2026-03-15T14:30:01Z
IIT Hyderabad,fees,fees review,VMxECL4-iDk,IIT Hyderabad FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-06-27T09:30:26Z
IIT Hyderabad,fees,fees review,EDF-ZMXdimk,IIT Hyderabad BTech Review,shiksha.com,2025-02-18T09:36:17Z
IIT Hyderabad,fees,fees review,p_y5eJbK1Tw,How is IIT Hyderabad Performing?? Is it a good Option?🤔🤔#jee #jee2025 #iit #iitjee #iithyderabad,Vedantu JEE Made Ejee,2024-09-19T13:30:28Z
IIT Hyderabad,fees,fees review,ckdLx54JMn4,"IIT Hyderabad Full Details in Telugu | Courses, Fees, Placements | JEE 2026 ",Yours Media,2026-02-06T06:21:03Z
IIT Hyderabad,fees,fees review,SevHtRimHYI,"💥 All About IIIT Hyderabad 2025 | Fees, Ranking, Placement &amp; Admission Process! #IIIT",Careers360,2025-05-19T11:43:13Z
IIT Hyderabad,fees,fees review,R3qmfG109_Y,IIT Hyderabad College Review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-05T06:30:24Z
IIT Hyderabad,fees,fees review,5RKvJwkuEJQ,IIT Hyderabad Review in 1 Min | Inside IIT Hyderabad | Arvind Kalia Sir | #shorts #jee #iithyderabad,Vedantu JEE,2022-12-03T06:00:01Z
IIT Hyderabad,fees,fees review,p9_CJf45ZKo,"IITs, NITs lo Fees enta Untundi🤔? Fee Waivers?? #btech #iit",Harsha Verse,2024-05-20T13:53:52Z
